ID,Binomial,Long,Lat,Aspect,curvature,Driver,Droad,elevation,NDSI,NDVI,rainfall,slope,TWI
211,1,47688.211,-275760.7631,306.027,0.222222,1184.41,0.001003,1772,0.180228,0.626149,1471,6.27934,0
212,1,116600.3521,-276780.5392,177.138,0.333333,187.971,0.013266,1935,0.387361,0.30577,1347,9.2021,0
213,1,114437.1907,-279870.7698,89.5185,-0.777778,61.805,0.039611,1808,0.353736,0.495277,1377,25.7049,5.03623
214,0,75654.79742,-280303.402,24.0071,-0.444444,1590.79,0.038906,2201,0.223022,0.809839,1614,27.7865,0
215,1,56402.66114,-282250.2473,215.074,0.333333,1260.57,0.085006,1656,0.266197,0.635344,1448,24.9193,3.12139
216,0,64808.08821,-282682.8796,100.823,0.222222,495.402,0.060485,1588,0.175758,0.713841,1455,29.2525,0
217,0,121977.3533,-282744.6842,314.029,0.111111,763.231,0.04202,2126,0.272849,0.522804,1317,18.6525,4.10449
218,1,51612.80379,-282961.0003,285.524,0.444444,1881.24,0.054741,2027,0.319958,0.351991,1445,8.59429,4.87966
219,0,59276.57554,-283115.5118,242.475,0,401.73,0.083001,1348,0.206023,0.615702,1419,17.9447,0
220,1,63850.11674,-284413.4087,59.0362,0.444444,373.394,0.077419,1675,0.401619,0.491067,1445,25.2544,4.20663
221,1,109307.408,-285000.5525,88.3153,-0.111111,509.654,0.007761,2031,0.381573,0.509938,1485,15.3858,4.70261
222,1,116260.4268,-285124.1617,327.7,-0.333333,557.099,0.05398,1886,0.281459,0.595773,1384,22.604,0
223,0,147997.0944,-286174.8401,350.096,-0.111111,437.025,0.082221,1601,0.378246,0.438489,1148,14.5039,4.35619
224,1,54332.20667,-286947.3977,243.199,0.111111,1008.95,0.070409,1581,0.221981,0.611111,1385,23.7296,4.77981
225,1,116631.2544,-287132.8115,205.017,0,525.339,0.050153,1883,0.343193,0.498276,1340,18.5097,3.41903
226,1,75067.65361,-288708.8291,121.551,0.222222,442.454,0.013223,1687,0.393734,0.596753,1530,28.4189,0
227,1,75407.57897,-289079.6568,26.1616,-0.555556,154.512,0.011327,1464,0.411382,0.595729,1530,27.1924,4.13259
228,0,56711.68419,-289419.5821,88.1524,-0.222222,1321.23,0.067839,1135,0.345539,0.291886,1346,7.15099,7.2036
229,0,106989.7351,-289697.7029,162.759,0.888889,1797.92,0.034783,2210,0.429083,0.302083,1492,20.2275,3.33022
230,1,54548.52281,-291490.0366,38.5892,-0.444444,278.121,0.040938,1309,0.389758,0.376593,1330,27.1273,3.03638
231,1,114529.8976,-291520.9389,11.3099,0.111111,1202.02,0.011036,1937,0.381112,0.305468,1338,4.71635,0
232,0,106742.5167,-294889.2902,164.521,-0.333333,744.226,0.059712,2020,0.415825,0.428394,1496,28.6187,0
233,1,45834.07268,-296248.9916,218.904,0.444444,370.828,0.019694,1504,0.241718,0.413312,1334,30.6494,2.91409
234,0,117898.2489,-297330.5723,309.289,-0.111111,1066.91,0.0064,1915,0.29092,0.532122,1316,16.0374,0
235,0,104363.0392,-297701.4,55.4077,0.333333,767.597,0.092676,2117,0.416599,0.472102,1559,15.9072,3.57065
236,1,117280.2028,-299122.906,201.371,0,0,0.004722,1781,0.256428,0.67211,1343,5.70516,0
237,0,99758.59565,-299957.2683,353.1,-0.444444,1744.82,0.13702,2426,0.262372,0.834725,1621,32.607,2.85205
238,0,114684.4092,-300575.3144,206.966,-0.555556,1545.42,0.030034,1994,0.328302,0.369074,1362,14.5039,0
239,0,150963.7158,-302522.1596,206.811,-0.111111,1193.65,0.120177,1647,0.340416,0.444513,1182,22.8553,5.51055
240,1,113046.587,-302553.0619,224.246,-0.222222,87.405,0.052973,1794,0.201413,0.56685,1437,23.4992,4.27876
241,0,122873.5201,-303480.1311,74.7449,0.222222,704.681,0.000622,1867,0.42059,0.395448,1309,2.64062,0
242,1,117032.9844,-303541.9357,128.367,0.777778,586.33,0.023641,1885,0.403764,0.339672,1387,26.3482,3.06556
243,1,59431.08707,-303881.8611,0,-0.222222,0,0.005955,0,0.322212,0.455348,1045,0,0
244,0,109523.7242,-304654.4187,5.5275,0.444444,665.656,0.088874,2127,0.402652,0.376422,1534,14.142,4.38148
245,1,117836.4443,-306137.7294,306.104,0.222222,293.165,0.040515,1789,0.303791,0.510403,1402,33.6584,2.82024
246,1,114715.3115,-307312.017,36.0983,-0.333333,686.143,0.062892,1894,0.294713,0.537701,1461,25.6685,4.70117
247,1,181646.1036,-229746.5903,12.9946,-0.222222,2590.09,0.0438223,1408,0.318932,0.457653,965,3.08909,5.2098
248,1,201335.906,-245547.1838,-1,0,1313.98,0.100404,1325,0.148089,0.71831,939,0,0
249,1,182962.5894,-221572.9991,147.804,-0.111111,3282.78,0.0304844,1441,0.317098,0.558897,996,7.35397,5.03554
